Päivämäärä;Auroransilta;Eteläesplanadi;Huopalahti (asema);Kaisaniemi/Eläintarhanlahti;Kaivokatu;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Käpylä, Pohjoisbaana;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto/Ooppera;Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Viikintie;Baana;
to 1 maalis 2018 15:00;17;13;18;16;45;0;25;21;19;18;39;28;13;23;26;24;16;34;16;54;
to 1 maalis 2018 16:00;41;22;45;26;50;0;33;29;32;30;49;38;17;59;42;19;30;57;12;85;
to 1 maalis 2018 17:00;43;19;32;26;50;0;37;32;24;45;28;33;16;48;56;20;18;45;8;61;
to 1 maalis 2018 18:00;22;25;22;8;37;0;10;18;15;17;33;12;8;47;25;13;20;26;9;43;
to 1 maalis 2018 19:00;8;7;8;8;23;0;11;10;12;15;21;13;3;28;13;13;8;13;5;31;
to 1 maalis 2018 20:00;9;8;7;4;12;0;7;9;6;10;23;11;2;27;10;8;8;11;0;24;
to 1 maalis 2018 21:00;6;4;7;8;9;0;8;2;3;6;9;8;3;16;6;7;7;16;2;15;
to 1 maalis 2018 22:00;2;3;4;2;4;0;1;0;8;0;4;3;2;7;8;3;2;9;1;1;
to 1 maalis 2018 23:00;0;4;0;1;5;0;3;0;4;1;0;2;1;3;2;0;2;4;0;1;
pe 2 maalis 2018 00:00;3;0;0;1;1;0;0;3;0;1;0;0;0;2;1;0;0;2;2;0;
pe 2 maalis 2018 01:00;0;2;1;0;1;0;0;0;1;0;0;0;0;5;1;1;0;2;0;1;
pe 2 maalis 2018 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;2;0;
pe 2 maalis 2018 03:00;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;
pe 2 maalis 2018 04:00;0;0;1;0;1;0;2;2;0;0;0;1;0;0;1;0;0;0;0;2;
pe 2 maalis 2018 05:00;2;4;2;2;2;0;7;1;6;4;2;1;1;4;5;1;1;6;0;7;
pe 2 maalis 2018 06:00;10;7;21;9;9;0;17;9;16;9;11;9;7;10;15;3;8;23;3;15;
pe 2 maalis 2018 07:00;30;17;41;9;38;0;41;32;39;22;51;39;17;32;12;26;19;55;14;56;
pe 2 maalis 2018 08:00;67;23;52;38;36;0;34;42;28;35;44;52;19;68;28;12;27;49;6;81;
pe 2 maalis 2018 09:00;21;18;18;21;37;0;20;22;12;22;26;26;5;60;32;13;18;22;4;62;
pe 2 maalis 2018 10:00;9;9;7;15;14;0;16;9;6;13;7;6;2;22;13;23;5;10;2;24;
pe 2 maalis 2018 11:00;7;12;6;15;16;0;16;4;7;6;11;6;4;19;9;16;3;15;4;23;
pe 2 maalis 2018 12:00;7;14;5;7;27;0;6;11;7;8;14;11;6;11;14;18;2;20;4;19;
pe 2 maalis 2018 13:00;6;8;10;9;33;0;9;11;9;10;19;7;5;23;20;25;12;17;9;28;
pe 2 maalis 2018 14:00;14;17;10;8;33;0;12;10;16;16;16;9;10;24;19;14;9;23;5;39;
pe 2 maalis 2018 15:00;35;23;29;31;39;0;29;20;20;21;39;26;14;55;28;26;20;35;14;57;
pe 2 maalis 2018 16:00;42;29;40;34;67;0;41;38;30;36;48;40;16;73;42;32;20;48;9;92;
pe 2 maalis 2018 17:00;37;26;34;18;49;0;26;32;23;22;35;37;11;47;38;19;22;26;7;57;
pe 2 maalis 2018 18:00;20;14;21;14;26;0;13;12;11;17;21;21;4;27;12;18;8;23;5;40;
pe 2 maalis 2018 19:00;12;15;5;7;23;0;16;5;7;15;17;10;0;15;18;11;8;8;1;22;
pe 2 maalis 2018 20:00;8;6;8;3;8;0;7;1;5;18;6;3;2;15;16;4;2;17;3;11;
pe 2 maalis 2018 21:00;3;8;6;2;8;0;6;5;2;3;10;8;4;16;3;10;0;13;1;11;
pe 2 maalis 2018 22:00;4;0;5;3;5;0;5;4;3;3;3;5;1;10;6;3;5;8;0;11;
pe 2 maalis 2018 23:00;0;3;2;1;0;0;0;2;12;4;0;0;0;5;3;3;1;4;0;1;
la 3 maalis 2018 00:00;0;0;1;1;4;0;4;0;0;2;1;1;0;1;4;1;1;3;3;1;
la 3 maalis 2018 01:00;0;1;0;3;2;0;1;1;0;1;0;0;0;2;3;1;0;2;0;0;
la 3 maalis 2018 02:00;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;1;0;0;0;
la 3 maalis 2018 03:00;1;1;0;0;1;0;0;0;1;0;0;0;0;2;0;0;1;3;0;1;
la 3 maalis 2018 04:00;0;0;0;1;1;0;1;0;1;1;0;1;1;0;1;2;0;2;1;1;
la 3 maalis 2018 05:00;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;
la 3 maalis 2018 06:00;1;1;3;2;2;0;7;1;7;1;3;9;1;2;1;1;1;6;0;5;
la 3 maalis 2018 07:00;4;0;1;2;1;0;2;0;1;0;1;3;1;1;2;1;0;5;3;2;
la 3 maalis 2018 08:00;2;3;1;2;4;0;3;1;0;7;9;4;0;5;4;4;2;8;3;7;
la 3 maalis 2018 09:00;13;6;4;1;5;0;8;7;8;6;5;7;3;14;7;7;5;8;0;16;
la 3 maalis 2018 10:00;5;5;10;4;10;0;8;3;2;8;5;3;3;10;10;16;7;8;2;9;
la 3 maalis 2018 11:00;5;4;5;4;7;0;11;8;3;7;9;10;0;21;13;13;5;8;5;13;
la 3 maalis 2018 12:00;6;7;6;2;14;0;6;4;1;9;8;6;5;16;8;18;9;8;6;18;
la 3 maalis 2018 13:00;7;7;2;8;31;0;8;5;10;9;10;2;6;21;19;29;8;15;3;21;
la 3 maalis 2018 14:00;10;18;4;10;25;0;5;7;6;14;14;7;7;13;22;23;9;9;4;18;
la 3 maalis 2018 15:00;13;6;8;9;22;0;9;7;11;7;9;12;6;18;19;9;7;14;6;24;
la 3 maalis 2018 16:00;8;14;6;6;21;0;16;5;12;13;6;4;5;17;12;24;3;13;2;17;
la 3 maalis 2018 17:00;10;3;12;6;16;0;0;7;6;15;5;9;6;17;15;9;4;13;2;14;
la 3 maalis 2018 18:00;3;5;4;9;9;0;5;4;7;7;5;6;5;14;9;8;5;11;4;15;
la 3 maalis 2018 19:00;8;5;5;10;8;0;3;2;4;3;5;4;1;17;6;2;6;10;2;7;
la 3 maalis 2018 20:00;1;4;2;4;4;0;2;3;4;5;6;5;1;8;2;4;1;7;0;6;
la 3 maalis 2018 21:00;2;5;2;1;4;0;2;1;3;7;3;8;1;9;2;5;4;6;0;8;
la 3 maalis 2018 22:00;1;1;3;2;1;0;1;1;2;4;3;1;3;5;5;2;4;3;0;3;
la 3 maalis 2018 23:00;1;2;0;2;3;0;3;0;2;0;0;0;0;7;2;3;0;4;1;4;
su 4 maalis 2018 00:00;0;1;1;2;5;0;2;0;1;0;2;2;1;6;3;1;0;1;2;1;
su 4 maalis 2018 01:00;1;0;1;0;2;0;2;1;4;0;0;0;1;3;3;0;0;6;0;1;
su 4 maalis 2018 02:00;0;0;0;0;0;0;0;2;0;2;0;0;0;4;3;1;0;1;0;2;
su 4 maalis 2018 03:00;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;2;3;0;2;
su 4 maalis 2018 04:00;0;0;0;0;0;0;1;0;0;0;0;0;1;1;2;2;0;0;0;0;
su 4 maalis 2018 05:00;1;1;0;0;0;0;0;0;2;2;2;0;1;1;0;0;2;1;0;1;
su 4 maalis 2018 06:00;1;1;2;2;5;0;3;0;10;0;0;1;1;1;2;0;1;9;1;4;
su 4 maalis 2018 07:00;4;1;2;0;2;0;3;0;1;0;1;4;0;4;0;0;0;5;1;2;
su 4 maalis 2018 08:00;3;2;4;1;0;0;2;2;1;7;1;2;3;3;2;2;0;2;0;2;
su 4 maalis 2018 09:00;5;1;5;1;5;0;3;6;3;5;4;5;2;3;4;5;1;1;1;6;
su 4 maalis 2018 10:00;4;1;13;2;8;0;4;8;4;5;5;4;4;7;10;8;3;15;1;13;
su 4 maalis 2018 11:00;12;6;6;9;16;0;11;4;4;11;5;6;5;15;11;9;5;7;2;13;
su 4 maalis 2018 12:00;9;5;10;7;14;0;12;5;5;21;14;7;3;15;9;17;7;8;1;18;
su 4 maalis 2018 13:00;19;6;4;7;19;0;8;10;4;19;22;5;8;18;9;17;5;4;3;19;
su 4 maalis 2018 14:00;16;8;6;6;15;1;13;5;8;15;20;4;4;21;17;14;9;13;3;24;
su 4 maalis 2018 15:00;15;19;9;6;27;0;8;6;7;14;13;13;5;26;21;11;4;13;7;38;
su 4 maalis 2018 16:00;12;8;5;11;21;0;5;2;7;18;15;12;7;25;13;19;7;10;4;20;
su 4 maalis 2018 17:00;11;10;6;9;16;0;6;11;4;12;17;15;6;25;9;10;4;7;2;25;
su 4 maalis 2018 18:00;2;6;6;8;13;0;3;2;6;16;12;6;3;18;16;14;3;10;4;15;
su 4 maalis 2018 19:00;9;11;3;4;14;0;6;3;3;28;6;10;6;15;4;5;6;5;1;7;
su 4 maalis 2018 20:00;4;6;5;2;14;0;7;6;1;24;8;4;2;10;13;5;7;6;0;13;
su 4 maalis 2018 21:00;5;4;2;3;3;0;0;2;4;12;5;7;3;11;7;3;1;9;1;5;
su 4 maalis 2018 22:00;1;2;1;0;3;0;0;0;7;3;2;4;0;9;0;3;1;1;0;1;
su 4 maalis 2018 23:00;1;0;0;2;3;0;0;1;1;0;0;0;2;1;3;3;0;1;2;0;
ma 5 maalis 2018 00:00;0;0;1;0;3;0;2;0;1;1;1;1;0;2;2;2;0;4;0;3;
ma 5 maalis 2018 01:00;1;0;0;2;2;0;0;0;0;0;0;0;0;4;0;4;0;0;0;1;
ma 5 maalis 2018 02:00;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;1;0;0;1;2;
ma 5 maalis 2018 03:00;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;2;
ma 5 maalis 2018 04:00;0;0;3;0;1;0;6;0;6;0;0;0;1;0;2;1;0;2;0;2;
ma 5 maalis 2018 05:00;0;2;7;1;2;0;5;4;7;4;5;2;1;5;2;1;1;16;0;10;
ma 5 maalis 2018 06:00;11;13;29;9;11;0;25;10;19;15;22;17;7;16;11;7;12;29;3;23;
ma 5 maalis 2018 07:00;46;13;65;16;32;0;64;41;49;36;64;41;22;49;21;6;28;79;23;75;
ma 5 maalis 2018 08:00;99;46;75;59;62;0;73;73;58;65;73;82;28;115;56;22;43;96;15;147;
ma 5 maalis 2018 09:00;43;39;19;45;42;0;36;24;17;43;46;21;8;81;34;16;11;35;15;83;
ma 5 maalis 2018 10:00;6;4;11;12;17;0;11;16;5;10;16;13;4;21;16;15;9;9;5;27;
ma 5 maalis 2018 11:00;10;14;8;11;34;0;9;4;7;9;11;11;8;17;22;22;4;20;6;21;
ma 5 maalis 2018 12:00;7;10;6;11;27;0;10;11;5;10;20;13;3;22;24;17;5;15;9;31;
ma 5 maalis 2018 13:00;4;10;7;11;16;0;15;7;3;14;16;4;2;21;21;18;10;11;6;31;
ma 5 maalis 2018 14:00;6;11;14;14;28;0;16;9;12;14;23;8;8;25;22;22;13;29;6;23;
ma 5 maalis 2018 15:00;20;18;43;21;47;0;30;31;26;22;59;33;13;44;38;23;14;46;16;62;
ma 5 maalis 2018 16:00;65;30;63;42;76;0;48;56;43;50;74;69;30;109;50;30;37;69;23;115;
ma 5 maalis 2018 17:00;54;23;50;29;46;0;33;55;42;56;64;50;19;83;38;20;30;55;16;106;
ma 5 maalis 2018 18:00;37;20;24;23;44;0;23;35;23;50;41;33;17;63;36;20;17;38;15;70;
ma 5 maalis 2018 19:00;15;6;10;13;22;0;29;13;14;14;19;19;9;34;18;13;12;25;7;36;
ma 5 maalis 2018 20:00;17;10;16;11;21;0;14;6;17;29;17;17;6;21;10;10;4;20;2;24;
ma 5 maalis 2018 21:00;11;3;3;7;12;1;12;4;6;15;7;3;2;26;8;7;5;13;1;23;
ma 5 maalis 2018 22:00;2;2;5;0;6;0;4;1;4;8;3;4;3;12;7;4;3;8;1;5;
ma 5 maalis 2018 23:00;2;2;1;1;1;0;0;2;1;2;4;0;0;5;4;0;2;1;2;1;
ti 6 maalis 2018 00:00;0;1;0;0;2;0;1;3;1;1;0;0;0;2;2;1;2;2;0;0;
ti 6 maalis 2018 01:00;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;
ti 6 maalis 2018 02:00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;
ti 6 maalis 2018 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
ti 6 maalis 2018 04:00;0;0;5;1;1;0;7;1;1;0;0;1;0;0;2;0;0;4;0;2;
ti 6 maalis 2018 05:00;1;4;8;3;2;0;8;2;22;8;4;2;0;3;8;4;3;12;1;12;
ti 6 maalis 2018 06:00;13;8;36;12;9;0;29;10;19;11;20;17;10;18;9;3;13;32;8;34;
ti 6 maalis 2018 07:00;65;17;69;29;33;0;65;57;62;35;92;56;27;54;27;15;33;89;10;84;
ti 6 maalis 2018 08:00;105;29;67;51;78;0;73;65;52;59;72;66;33;130;50;21;42;96;14;143;
ti 6 maalis 2018 09:00;38;35;21;38;46;0;38;41;17;40;38;22;7;72;36;26;15;29;7;86;
ti 6 maalis 2018 10:00;13;14;8;10;25;0;9;13;10;15;9;10;6;28;31;14;7;17;6;27;
ti 6 maalis 2018 11:00;20;12;5;17;27;0;12;7;6;13;10;3;6;22;28;19;6;18;11;33;
ti 6 maalis 2018 12:00;13;8;9;14;34;0;11;1;13;10;15;10;8;25;12;17;6;20;3;32;
ti 6 maalis 2018 13:00;13;11;8;10;24;0;12;10;8;12;10;7;6;21;22;23;8;13;2;25;
ti 6 maalis 2018 14:00;14;17;12;14;29;0;10;13;7;20;22;6;9;27;17;19;7;17;8;41;
ti 6 maalis 2018 15:00;32;27;33;29;49;0;33;34;31;29;41;29;15;67;33;20;20;49;23;78;
ti 6 maalis 2018 16:00;63;35;68;61;87;0;47;64;45;53;79;64;30;82;57;27;46;73;24;123;
ti 6 maalis 2018 17:00;61;32;49;30;69;0;40;51;41;55;49;59;20;100;52;27;33;72;10;87;
ti 6 maalis 2018 18:00;36;22;26;24;53;0;20;30;26;35;40;35;15;69;30;21;14;36;11;68;
ti 6 maalis 2018 19:00;17;16;15;12;33;0;15;16;10;34;27;20;8;38;30;18;18;19;4;54;
ti 6 maalis 2018 20:00;16;10;15;10;23;0;13;9;8;20;20;13;4;25;23;7;8;12;9;25;
ti 6 maalis 2018 21:00;10;5;6;8;13;0;8;8;11;20;8;9;5;25;14;11;4;16;3;28;
ti 6 maalis 2018 22:00;3;2;2;1;8;0;4;2;6;8;6;5;4;11;6;4;2;9;1;6;
ti 6 maalis 2018 23:00;0;3;1;0;4;0;0;1;1;1;0;0;0;3;2;3;2;1;1;3;
ke 7 maalis 2018 00:00;0;3;1;0;6;0;0;2;0;0;0;0;0;3;0;2;1;3;0;0;
ke 7 maalis 2018 01:00;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;
ke 7 maalis 2018 02:00;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;
ke 7 maalis 2018 03:00;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;
ke 7 maalis 2018 04:00;0;0;4;0;0;0;1;1;2;0;0;1;0;1;0;0;2;2;1;2;
ke 7 maalis 2018 05:00;0;1;5;4;2;0;8;1;16;7;1;0;1;8;4;1;4;11;1;12;
ke 7 maalis 2018 06:00;17;8;41;12;23;0;28;14;33;10;26;21;10;24;15;5;15;42;10;34;
ke 7 maalis 2018 07:00;58;26;81;31;34;0;75;49;55;45;63;66;23;67;25;13;34;92;15;88;
ke 7 maalis 2018 08:00;79;32;78;52;70;0;54;64;57;60;84;72;26;127;53;17;33;92;16;153;
ke 7 maalis 2018 09:00;24;32;22;31;45;0;30;23;17;42;33;27;10;77;47;23;20;36;8;94;
ke 7 maalis 2018 10:00;14;18;14;12;16;0;11;14;5;12;15;8;2;20;20;27;7;18;6;28;
ke 7 maalis 2018 11:00;13;17;9;13;20;0;4;11;8;15;13;7;7;23;10;26;5;13;5;16;
ke 7 maalis 2018 12:00;15;23;9;11;31;0;16;7;8;12;15;6;12;27;28;31;9;13;6;33;
ke 7 maalis 2018 13:00;6;12;8;5;28;0;15;13;7;13;21;11;8;22;17;26;5;16;8;29;
ke 7 maalis 2018 14:00;15;22;19;22;27;0;12;10;13;13;20;14;17;31;28;17;11;27;16;30;
ke 7 maalis 2018 15:00;29;25;43;20;43;0;35;34;39;26;53;34;12;49;36;25;22;45;11;57;
ke 7 maalis 2018 16:00;54;47;73;47;65;0;52;56;52;61;72;70;28;108;58;28;35;91;20;124;
ke 7 maalis 2018 17:00;55;25;43;41;82;0;27;52;47;51;57;45;16;100;43;29;26;72;15;108;
ke 7 maalis 2018 18:00;26;30;27;21;51;0;26;28;21;36;50;31;12;56;39;21;21;39;9;70;
ke 7 maalis 2018 19:00;17;17;18;13;28;0;15;11;12;20;30;22;6;32;30;10;10;18;4;29;
ke 7 maalis 2018 20:00;8;5;14;12;25;0;10;6;8;21;23;16;5;25;22;10;10;16;5;30;
ke 7 maalis 2018 21:00;7;11;8;7;15;0;10;7;7;10;11;9;7;24;15;3;6;15;3;26;
ke 7 maalis 2018 22:00;1;3;2;2;11;0;1;2;3;6;5;5;1;10;11;3;3;7;2;5;
ke 7 maalis 2018 23:00;1;1;1;1;6;0;2;0;5;2;1;1;1;13;1;1;1;1;1;11;
to 8 maalis 2018 00:00;0;2;1;1;4;0;2;1;0;0;1;1;0;2;4;2;0;5;0;1;
to 8 maalis 2018 01:00;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;
to 8 maalis 2018 02:00;0;0;2;1;0;0;0;1;0;0;0;3;1;2;0;0;0;0;0;0;
to 8 maalis 2018 03:00;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;
to 8 maalis 2018 04:00;0;1;3;0;0;0;5;2;0;0;2;1;0;0;2;1;1;8;3;2;
to 8 maalis 2018 05:00;1;3;9;4;3;0;10;2;13;4;3;3;2;10;6;4;2;12;1;14;
to 8 maalis 2018 06:00;12;6;37;15;12;0;29;11;23;10;19;18;13;16;14;6;6;44;4;21;
to 8 maalis 2018 07:00;49;19;58;24;38;0;44;45;49;41;56;51;21;51;20;9;31;74;17;90;
to 8 maalis 2018 08:00;86;40;64;57;72;0;64;52;53;64;70;62;17;128;48;19;39;99;15;137;
to 8 maalis 2018 09:00;24;21;18;36;42;0;24;30;13;38;30;26;11;60;49;16;15;30;11;92;
to 8 maalis 2018 10:00;4;8;4;10;22;0;9;12;6;10;13;8;4;23;24;13;7;10;4;32;
to 8 maalis 2018 11:00;11;12;8;9;25;0;9;10;6;15;16;7;8;18;32;18;4;16;3;23;
to 8 maalis 2018 12:00;8;11;8;9;24;0;8;6;5;18;12;8;7;28;20;18;5;17;2;32;
to 8 maalis 2018 13:00;11;13;9;13;33;0;10;5;6;21;15;7;7;23;25;20;4;12;5;23;
to 8 maalis 2018 14:00;9;15;16;16;28;0;10;6;9;19;21;11;8;24;19;20;12;22;4;33;
to 8 maalis 2018 15:00;35;20;47;18;45;0;33;35;28;31;57;35;14;57;35;20;18;42;12;63;
to 8 maalis 2018 16:00;51;38;60;38;85;0;55;50;38;43;58;54;26;76;50;21;44;75;17;114;
to 8 maalis 2018 17:00;43;35;47;28;66;0;38;56;40;46;51;40;16;94;56;22;33;75;17;109;
to 8 maalis 2018 18:00;35;26;22;20;35;0;21;34;20;32;38;34;8;77;37;12;15;32;1;57;
to 8 maalis 2018 19:00;12;21;11;17;29;0;20;12;12;20;18;15;3;29;26;11;15;20;2;33;
to 8 maalis 2018 20:00;10;11;8;7;23;0;11;7;14;18;19;10;9;34;13;6;7;18;4;28;
to 8 maalis 2018 21:00;8;10;5;9;20;0;4;6;13;9;8;11;3;30;6;10;8;23;0;17;
to 8 maalis 2018 22:00;3;2;8;3;7;0;2;2;6;7;4;4;0;15;7;0;5;3;3;14;
to 8 maalis 2018 23:00;5;6;0;4;5;0;0;3;2;2;0;2;1;7;1;0;1;3;0;2;
pe 9 maalis 2018 00:00;0;2;0;0;7;0;3;1;1;6;1;0;1;4;3;3;1;0;0;1;
pe 9 maalis 2018 01:00;0;0;0;0;1;0;0;0;1;1;1;1;0;0;1;0;1;3;0;1;
pe 9 maalis 2018 02:00;0;3;2;0;0;0;0;0;0;5;0;0;0;0;0;4;0;1;0;3;
pe 9 maalis 2018 03:00;0;0;1;0;4;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;
pe 9 maalis 2018 04:00;0;1;3;0;0;0;2;0;0;0;0;0;0;0;2;1;0;1;1;3;
pe 9 maalis 2018 05:00;0;1;3;2;5;0;4;0;16;5;2;1;1;12;2;0;2;11;0;7;
pe 9 maalis 2018 06:00;13;5;24;10;4;0;20;8;16;9;12;20;8;12;7;5;5;25;2;24;
pe 9 maalis 2018 07:00;36;13;40;15;19;0;36;37;37;25;55;37;15;40;12;4;26;55;10;57;
pe 9 maalis 2018 08:00;60;16;46;31;42;0;39;48;48;36;51;50;13;93;37;14;32;72;10;101;
pe 9 maalis 2018 09:00;19;15;14;27;56;0;17;24;16;37;25;22;8;53;26;11;13;34;15;70;
pe 9 maalis 2018 10:00;10;11;12;5;16;0;11;12;5;8;9;6;4;20;19;17;3;10;2;19;
pe 9 maalis 2018 11:00;9;10;5;4;23;0;10;3;9;12;8;5;7;22;11;14;5;7;3;24;
pe 9 maalis 2018 12:00;7;7;1;8;38;0;6;5;4;12;11;8;1;19;20;11;4;10;3;26;
pe 9 maalis 2018 13:00;7;7;2;11;29;0;6;6;7;12;14;6;4;19;10;13;1;10;3;26;
pe 9 maalis 2018 14:00;4;5;19;14;33;0;9;20;16;9;19;16;3;32;10;15;8;26;4;30;
pe 9 maalis 2018 15:00;32;16;28;21;47;0;28;16;25;16;35;34;16;39;35;34;22;42;14;58;
pe 9 maalis 2018 16:00;49;24;30;22;65;0;35;40;39;41;58;53;18;75;35;15;24;63;15;94;
pe 9 maalis 2018 17:00;34;22;28;28;57;0;19;29;16;24;28;28;13;68;30;28;15;34;10;65;
pe 9 maalis 2018 18:00;21;12;11;17;23;0;8;16;15;16;19;20;8;43;28;21;12;21;3;50;
pe 9 maalis 2018 19:00;8;5;14;3;15;1;14;6;7;16;12;11;9;20;12;12;3;11;3;25;
pe 9 maalis 2018 20:00;7;6;5;10;5;0;6;8;5;8;4;7;2;24;11;6;10;7;2;19;
pe 9 maalis 2018 21:00;1;4;4;7;13;0;2;6;2;7;6;4;2;16;10;4;5;9;0;12;
pe 9 maalis 2018 22:00;3;2;3;2;3;0;4;0;7;6;2;3;1;9;10;1;0;9;0;10;
pe 9 maalis 2018 23:00;1;1;2;1;7;0;5;2;0;4;2;2;2;6;3;4;1;3;0;9;
la 10 maalis 2018 00:00;2;0;1;1;8;0;1;3;0;5;2;1;0;4;6;2;0;1;2;5;
la 10 maalis 2018 01:00;0;1;1;0;2;0;1;1;0;1;1;2;0;1;1;4;3;0;0;0;
la 10 maalis 2018 02:00;0;0;0;3;2;0;0;1;0;1;0;0;1;0;2;2;1;0;0;1;
la 10 maalis 2018 03:00;0;0;0;1;2;0;0;0;0;0;0;1;0;1;2;1;0;0;0;2;
la 10 maalis 2018 04:00;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;1;1;0;0;
la 10 maalis 2018 05:00;0;0;0;0;1;0;0;0;9;2;0;1;2;1;1;3;0;1;0;2;
la 10 maalis 2018 06:00;0;1;3;2;2;0;3;3;1;2;1;3;2;0;1;1;3;4;0;2;
la 10 maalis 2018 07:00;3;0;2;3;4;0;9;0;6;0;1;3;4;0;2;2;1;7;1;5;
la 10 maalis 2018 08:00;8;3;1;0;3;0;8;6;3;7;2;3;4;16;3;2;1;8;0;16;
la 10 maalis 2018 09:00;6;5;7;4;14;0;6;10;5;11;7;12;3;16;9;4;1;6;4;20;
la 10 maalis 2018 10:00;12;6;6;8;25;0;14;5;12;15;9;6;4;16;11;15;5;14;2;21;
la 10 maalis 2018 11:00;20;1;3;6;18;0;11;5;3;7;11;6;6;27;23;12;2;11;2;30;
la 10 maalis 2018 12:00;11;5;9;9;22;0;8;9;6;14;17;7;10;26;19;26;2;17;7;22;
la 10 maalis 2018 13:00;10;8;5;7;25;0;18;7;5;9;18;8;10;27;19;21;4;8;10;9;
la 10 maalis 2018 14:00;7;11;7;8;31;0;10;9;8;16;12;15;10;24;24;29;1;10;5;24;
la 10 maalis 2018 15:00;10;5;6;9;17;0;9;13;3;17;13;6;8;19;14;17;4;8;11;20;
la 10 maalis 2018 16:00;6;3;4;2;33;0;13;4;0;10;14;9;7;17;19;15;7;4;13;16;
la 10 maalis 2018 17:00;6;9;6;8;22;0;3;8;5;5;9;6;4;14;18;15;4;8;4;12;
la 10 maalis 2018 18:00;5;5;2;4;19;0;6;2;4;12;7;4;4;15;24;14;4;10;4;9;
la 10 maalis 2018 19:00;3;4;2;2;10;0;8;1;9;10;9;5;3;19;11;9;1;8;0;15;
la 10 maalis 2018 20:00;2;1;5;8;6;0;2;2;6;5;2;5;2;10;5;3;5;14;1;6;
la 10 maalis 2018 21:00;1;0;1;2;11;0;6;0;1;6;1;3;2;8;8;6;1;4;1;6;
la 10 maalis 2018 22:00;3;3;2;1;4;0;1;0;2;1;2;2;1;9;4;2;1;4;0;4;
la 10 maalis 2018 23:00;2;0;1;3;3;0;3;0;5;0;1;1;1;7;2;2;1;5;0;7;
su 11 maalis 2018 00:00;1;1;1;0;3;0;3;3;0;2;2;3;0;6;0;2;1;1;0;3;
su 11 maalis 2018 01:00;1;0;1;0;4;0;2;0;2;3;2;1;0;3;4;4;0;1;0;1;
su 11 maalis 2018 02:00;0;1;1;0;0;0;0;0;0;3;0;2;1;1;2;0;0;0;0;2;
su 11 maalis 2018 03:00;0;0;0;0;3;0;2;0;0;1;0;0;1;0;6;1;0;0;0;1;
su 11 maalis 2018 04:00;0;0;0;0;2;0;0;0;1;1;0;0;1;0;0;2;2;1;0;2;
su 11 maalis 2018 05:00;0;0;0;1;1;0;0;13;0;2;2;0;0;2;0;1;0;0;0;2;
su 11 maalis 2018 06:00;0;0;2;0;2;0;5;1;3;2;2;2;2;0;1;0;10;5;3;2;
su 11 maalis 2018 07:00;1;3;1;2;2;0;2;1;3;4;1;2;1;0;2;1;1;5;1;1;
su 11 maalis 2018 08:00;2;1;3;2;1;0;4;6;2;2;2;5;0;9;2;4;1;6;1;4;
su 11 maalis 2018 09:00;6;4;2;3;7;0;4;3;4;6;9;7;1;7;5;5;8;9;2;11;
su 11 maalis 2018 10:00;9;1;5;1;7;0;11;4;2;15;7;5;2;10;13;8;3;12;6;16;
su 11 maalis 2018 11:00;9;8;3;7;14;0;14;7;6;8;6;4;1;16;15;14;5;5;8;15;
su 11 maalis 2018 12:00;12;5;7;5;19;0;10;12;14;14;13;16;8;22;15;24;4;13;3;5;
su 11 maalis 2018 13:00;4;7;3;4;18;0;18;14;7;11;11;9;8;17;13;12;5;6;11;26;
su 11 maalis 2018 14:00;4;11;6;9;21;0;5;14;7;12;16;9;2;16;9;26;12;8;10;20;
su 11 maalis 2018 15:00;7;14;7;10;43;1;10;9;9;24;22;7;5;16;21;17;8;7;6;26;
su 11 maalis 2018 16:00;7;5;7;5;29;0;11;5;5;20;11;10;4;21;16;10;8;8;4;18;
su 11 maalis 2018 17:00;6;9;5;3;58;0;17;13;7;16;13;7;6;24;13;13;13;10;5;23;
